AcetoHEXAMIDE|Acetohexamide
AcetaZOLAMIDE|Acetazolamide
BuPROPion|Bupropion
BusPIRone|Buspirone
ChlorproMAZINE|Chlorpromazine
ChlorproPAMIDE|Chlorpropamide
ClomiPHENE|Clomiphene
ClomiPRAMINE|Clomipramine
CycloSPORINE|Cyclosporine
CycloSERINE|Cycloserine
DAUNOrubicin|Daunorubicin
DOXOrubicin|Doxorubicin
DimenhyDRINATE|Dimenhydrinate
DiphenhydrAMINE|Diphenhydramine
DOBUTamine|Dobutamine
DOPamine|Dopamine
GlipiZIDE|Glipizide
GlyBURIDE|Glyburide
HydrALAZINE|Hydralazine
HydOXYzine|Hydroxyzine
MedroxyPROGESTERone|Medroxyprogesterone
MethylPREDNISolone|Methylprednisolone
MethylTESTOSTERone|Methyltestosterone
NiCARdipine|Nicardipine
NIFEdipine|Nifedipine
PredniSONE|Prednisone
PrednisoLONE|prednisolone
SulfADIAZINE|Sulfadiazine
SulfiSOXAZOLE|Sulfisoxazole
TOLAZamide|Tolazamide
TOLBUTamide|Tolbutamide
VinBLAStine|Vinblastine
VinCRIStine|Vincristine
